Job Code,Position,Bonus
TO32307N,ACCOUNTING INTERN,X
TO10221N,ADVERTISING & PROMOTIONS COORDINATOR,X
TO10207N,ADVERTISING MANAGER,X
TO10228N,ADVERTISING SPECIALIST,X
TO05203N,ASSISTANT MANAGER FOOD & BEVERAGE,
TO10208N,ASSISTANT SHIFT MANAGER PLAYER SERVICES,
TO01210N,ASSISTANT SHIFT MANAGER TABLE GAMES,X
TO02209N,ASSISTANT SHIFT MANAGER SLOT,
TO10227N,AV TECHNICIAN,X
TO05317U,BAKER 1,X
TO05324U,BAKER 2,X
TO05325U,BAKER 3,X
TO05214N,BANQUET COORDINATOR,X
TO05303U,BARBACK,X
TO05302U,BARTENDER,X
TO35207N,BENEFITS SPECIALIST,X
TO32219N,CAGE MANAGER,X
TO05307U,BUSSER,X
TO33203N,BUYER,X
TO10229N,CASINO HOST,X
TO05208N,CHEF/KITCHEN MANAGER,X
TO10233N,COMMUNITY AND PUBLIC RELATIONS MANAGER,X
TO30300N,CASINO OPERATIONS  ADMINISTRATIVE ASSISTANT,X
TO30304N,CASINO OPERATIONS ADMINISTRATIVE COORDINATOR,X
TO30204N,COMPLIANCE ADMINISTRATOR,X
TO32105N,CONTROLLER CASINO,X
TO32104N,CONTROLLER FINANCE,X
TO30302N,COMPLIANCE CLERK,X
TO30205N,COMPLIANCE SUPERVISOR,
TO05314U,COOK 1,X
TO05313U,COOK 2,X
TO05312U,COOK 3,X
TO05101N,DIRECTOR  FOOD & BEVERAGE,X
TO21101N,DIRECTOR FACILITIES,X
TO32101N,DIRECTOR FINANCE,X
TO34101N,DIRECTOR INFORMATION TECHNOLOGY,X
TO10101N,DIRECTOR MARKETING,X
TO32102N,DIRECTOR PLANNING & ANALYSIS,X
TO33101N,DIRECTOR PURCHASING,X
TO40101N,DIRECTOR SECURITY,X
TO21102N,DIRECTOR SUPPORT SERVICES,X
TO41101N,DIRECTOR SURVEILLANCE,X
TO01101N,DIRECTOR TABLE GAMES,X
TO32205N,DISBURSEMENT MANAGER,X
TO32303U,COUNT ROOM ASSOCIATE,X
TO10235N,DIGITAL DESIGN SUPERVISOR,
TO10318N,EMCEE,X
TO40301U,EMT SECURITY OFFICER ,X
TO40303N,EVENT STAFF,X
TO10303N,EVENTS/ENTERTAINMENT COORDINATOR,X
TO22301U,EVS ATTENDANT,X
TO05201N,EXECUTIVE CHEF,X
TO05213N,EXECUTIVE SOUS CHEF,X
TO05202N,EXECUTIVE STEWARD,X
TO21201N,FACILITIES CHIEF ENGINEER,X
TO22302U,EVS DEEP CLEANERS,X
TO30203N,EXECUTIVE ADMINISTRATIVE ASSISTANT,X
TO21303U,FACILITIES GROUNDSKEEPER,X
TO21301U,FACILITIES TECHNICIAN,X
TO40304U,FIELD TRAINING OFFICER (FTO),X
TO32215N,FINANCIAL ANALYST,X
TO05300N,FOOD & BEVERAGE ADMINISTRATIVE ASSISTANT,X
TO05308U,FOOD & BEVERAGE ATTENDANT,X
TO05318U,FOOD & BEVERAGE RUNNER,X
TO30100N,GENERAL MANAGER,X
TO05325N,FOOD AND BEVERAGE INTERN,X
TO10209N,GROUP SALES MANAGER,X
TO10304N,GRAPHIC ARTIST,X
TO10222N,GRAPHIC DESIGNER,X
TO35304N,HEALTH & WELLNESS CONSULTANT,X
TO05305U,HOSTESS/CASHIER,X
TO35202N,HUMAN RESOURCES BUSINESS PARTNER,X
TO35300N,HUMAN RESOURCES ADMINISTRATIVE ASSISTANT,X
TO35206N,HUMAN RESOURCES ANALYST,X
TO35302N,HUMAN RESOURCES CLERK,X
TO35301N,HUMAN RESOURCES COORDINATOR,X
TO35208N,HUMAN RESOURCES GENERALIST,X
TO35203N,HUMAN RESOURCES TRAINING MANAGER,X
TO35303N,HUMAN RESOURCES INTERN,X
TO35204N,HUMAN RESOURCES SPECIALIST,X
TO35205N,HUMAN RESOURCES TRAINING SPECIALIST,X
TO34300N,INFORMATION TECHNOLOGY ADMINISTRATIVE ASSISTANT,X
TO34202N,INFORMATION TECHNOLOGY APPLICATION SPECIALIST,X
TO34204N,INFORMATION TECHNOLOGY AS400,X
TO34302N,INFORMATION TECHNOLOGY AV TECHNICIAN,X
TO34205N,INFORMATION TECHNOLOGY LEAD AV TECHNICIAN,X
TO34203N,INFORMATION TECHNOLOGY NETWORK ADMINISTRATOR,X
TO34301N,INFORMATION TECHNOLOGY SYSTEM TECHINCIAN,X
TO42202N,INTERNAL AUDITOR,X
TO10103N,INTERNAL MANAGEMENT CONSULTANT,X
TO32306N,INVENTORY CONTROL CLERK,X
TO10314N,JUNIOR CASINO HOST,X
TO05316N,LEAD BAKER,X
TO32302U,LEAD COUNT ROOM ASSOCIATE,X
TO32212N,LEAD REVENUE AUDITOR,X
TO05323U,LEAD SERVER,X
TO05212N,LEAD SOUS CHEF,X
TO05301U,LEAD STEWARD,X
TO17303U,LEAD WARDROBE ATTENDANT,X
TO30206N,LEAP ASSOCIATE,X
TO32304U,MAIN BANKER,X
TO32202N,MANAGER ACCOUNTING,X
TO30202N,MANAGER COMPLIANCE,X
TO32204N,MANAGER COUNT ROOM,X
TO22200N,MANAGER EVS,X
TO21200N,MANAGER FACILITIES,X
TO05200N,MANAGER FOOD & BEVERAGE,X
TO42200N,MANAGER INTERNAL AUDIT,X
TO10200N,MANAGER MARKETING ,X
TO10201N,MANAGER MARKETING DATABASE ,X
TO10204N,MANAGER PLAYER DEVELOPMENT,X
TO01201N,MANAGER POKER,X
TO33200N,MANAGER PURCHASING,X
TO32201N,MANAGER REVENUE AUDIT,X
TO40200N,MANAGER SECURITY,X
TO02200N,MANAGER SLOT OPERATIONS,X
TO02208N,MANAGER SLOT PERFORMANCE,X
TO02201N,MANAGER SLOT TECH,X
TO41200N,MANAGER SURVEILLANCE,X
TO10300N,MARKETING ADMINISTRATIVE ASSISTANT,X
TO10301N,MARKETING ASSISTANT,X
TO10320N,MARKETING COMMUNICATION SPECIALIST,X
TO10223N,MARKETING COORDINATOR,X
TO10321N,MARKETING COORDINATOR,X
TO10225N,MARKETING DATABASE ANALYST,X
TO10302N,MARKETING DATABASE COORDINATOR ,X
TO10311N,MARKETING INTERN,X
TO10316N,MARKETING INTERN,X
TO10224N,MARKETING REPRESENTATIVE,X
TO05304U,MODEL BEVERAGE SERVER,X
TO05319U,MODEL LOUNGE SERVER,X
TO10226N,MULTIMEDIA DESIGNER,X
TO30301N,NON-CASINO OPERATIONS ADMINISTRATIVE ASSISTANT,X
TO05210N,PASTRY CHEF,X
TO32301N,PAYROLL / A/P CLERK,X
TO32218N,PAYROLL SPECIALIST,X
TO10232N,PLAYER DEVELOPMENT EXECUTIVE,X
TO10202N,PLAYER DEVELOPMENT MANAGER,X
TO10307U,PLAYER SERVICES CASHIER I,X
TO10306U,PLAYER SERVICES CASHIER II,X
TO10308U,PLAYER SERVICES CREDIT CLERK,X
TO10309U,PLAYER SERVICES REPRESENTATIVE,X
TO01304U,POKER DEALER,X
TO01308U,POKER DUAL RATE,X
TO01307U,POKER HOST,X
TO01211N,POKER SHIFT MANAGER,X
TO10236N,PROMOTIONS & SPECIAL EVENTS MANAGER,X
TO10231N,PROMOTIONS & SPECIAL EVENTS SUPERVISOR,
TO10313N,PROMOTIONS REPRESENTATIVE,X
TO30303N,RECEPTIONIST,X
TO10102N,REGIONAL DATABASE DIRECTOR,X
TO10234N,REGIONAL DATABASE MARKETING MANAGER,X
TO33102N,REGIONAL DIRECTOR OF PURCHASING,X
TO09302U,RETAIL CLERK,X
TO09301U,RETAIL LEAD CLERK,X
TO32216N,REVENUE AUDITOR,X
TO40203N,SAFETY SPECIALIST,X
TO17302U,SEAMSTRESS,X
TO40302U,SECURITY OFFICER ,X
TO32211N,SENIOR FINANCIAL ANALYST,X
TO41301N,SENIOR SURVEILLANCE OPERATOR,X
TO05306N,SERVER,X
TO05306U,SERVER,X
TO10206N,SHIFT MANAGER PLAYER SERVICES/CAGE,X
TO40201N,SHIFT MANAGER SECURITY,X
TO02202N,SHIFT MANAGER SLOT,X
TO41201N,SHIFT MANAGER SURVEILLANCE,X
TO01203N,SHIFT MANAGER TABLE GAMES,X
TO10215N,SHIFT SUPERVISOR PLAYER SERVICES,
TO10315U,SHOW PERSON,X
TO02302U,SLOT ATTENDANT,X
TO02301U,SLOT TECHNICIAN,X
TO10319N,SOCIAL MEDIA SPECIALIST,X
TO05207N,SOUS CHEF,
TO32217N,STAFF ACCOUNTANT,X
TO05311U,STEWARD,X
TO05321U,STEWARD DEEP CLEANER,X
TO10214N,SUPERVISOR ADVERTISING,
TO22202N,SUPERVISOR EVS,
TO21202N,SUPERVISOR FACILITIES,
TO05206N,SUPERVISOR FOOD & BEVERAGE,
TO01205N,SUPERVISOR POKER,
TO09201N,SUPERVISOR RETAIL,
TO40202N,SUPERVISOR SECURITY,
TO02204N,SUPERVISOR SLOT,
TO02205N,SUPERVISOR SLOT TECH,
TO05205N,SUPERVISOR STEWARD,
TO41202N,SUPERVISOR SURVEILLANCE,
TO01204N,SUPERVISOR TABLE GAMES,
TO17201N,SUPERVISOR WARDROBE,
TO18202N,SUPERVISOR WAREHOUSE,
TO41304N,SURVEILLANCE OPERATOR,X
TO41203N,SURVEILLANCE TECH MANAGER,X
TO41303N,SURVEILLANCE TECHNICIAN,X
TO01303U,TABLE GAMES DEALER,X
TO01305N,TABLE GAMES DUAL RATE,X
TO01301N,TABLE GAMES SCHEDULER,X
TO01302N,TABLE GAMES TRAINER,X
TO17202N,TEAM MEMBER SERVICES SUPERVISOR,
TO05315U,UTILITY,X
TO10230N,VIP SERVICES SUPERVISOR,
TO30102N,VP CASINO OPERATIONS,X
TO32100N,VP FINANCE,X
TO05100N,VP FOOD & BEVERAGE,X
TO35100N,VP HUMAN RESOURCES,X
TO10100N,VP MARKETING,X
TO17301U,WARDROBE ATTENDANT ,X
TO18302U,WAREHOUSE ATTENDANT,X
TO18301U,WAREHOUSE LEAD ATTENDANT,X